window_length,polyorder,stable_count,complex_pair_count,mean_fn_Hz,sd_fn_Hz,mean_zeta,sd_zeta,median_A_rel_error,median_B_rel_error,max_fn_rel_dev_from_baseline,max_zeta_rel_dev_from_baseline
51,2,6,6,426000.5081239615,40219.57770891518,0.7727195562686715,0.031989941776770926,0.06724900818649945,0.04535230161020983,0.02083420059595436,0.02655091456932719
51,3,6,6,428313.84587616747,46663.38062319406,0.7743919299833073,0.035830241763882255,0.06521285481949698,0.05668810701876746,0.041083428084190486,0.0215000437462842
51,4,6,6,423477.13802641147,48098.19112014712,0.7779682887207185,0.03240602320384442,0.07526747823526074,0.0611404843881455,0.059303933472741016,0.018252581591040255
101,2,6,6,404953.8907807436,32744.378387562992,0.7730094887598056,0.018426000862983394,0.12681353911322446,0.04605796051093203,0.08047714594401811,0.022512399810422974
101,3,6,6,431479.5832547581,39102.033891887135,0.7800088823828552,0.030895691295456208,0.059206491861677715,0.042612252304973945,0.0,0.0
101,4,6,6,427620.44692035875,45287.39891249503,0.7770208148906458,0.03193642513879245,0.06493406369474386,0.05026243258911997,0.03926610463941494,0.021884898121791813
151,2,6,6,369529.9028052063,29464.185075979593,0.7642407003265785,0.02636930789821402,0.22451967024125635,0.12350799677897417,0.1650435394997819,0.04720094613823499
151,3,6,6,425558.0835950975,35385.68084708907,0.789233959402727,0.024245023586359295,0.05676576760350956,0.038540943652402355,0.028457553103983537,0.04262365960075588
151,4,6,6,431204.66097253497,41066.76564081035,0.7831283026306252,0.025844706520986093,0.0603386846989596,0.04192835430934451,0.01202044661623971,0.014243446356667187
