freq_Hz,Omega,amp_multi_m,amp_rom_m,relative_error
163.59798607882942,0.5,6.612944090561086e-06,6.46894000091354e-06,0.02177609362418305
170.1419055219826,0.52,6.79408227681084e-06,6.64955040157551e-06,0.02127320060998332
176.6858249651358,0.54,6.992046901086289e-06,6.848118346190342e-06,0.020584609475886983
183.22974440828898,0.56,7.211407810595138e-06,7.066790646758905e-06,0.02005394336786209
189.7736638514421,0.58,7.45454455468211e-06,7.309435963612613e-06,0.019465788956664776
196.3175832945953,0.6,7.723600743807503e-06,7.578745430256444e-06,0.018754894039182308
202.86150273774848,0.62,8.023086360737291e-06,7.878531172997266e-06,0.018017403931663664
209.40542218090167,0.64,8.358578407938973e-06,8.21401203667512e-06,0.01729556919948787
215.94934162405485,0.66,8.736653687386932e-06,8.59142121419095e-06,0.016623352417602766
222.49326106720798,0.6799999999999999,9.164368904267765e-06,9.017777685697839e-06,0.01599577888027406
229.03718051036117,0.7,9.648441192878441e-06,9.501270751405382e-06,0.015253286881375873
235.58109995351435,0.72,1.0200213063533637e-05,1.0056028887234735e-05,0.014135408290084568
242.12501939666754,0.74,1.0846685782009829e-05,1.070553038237812e-05,0.01301368938573183
248.66893883982073,0.76,1.1614693379335989e-05,1.1467304188447943e-05,0.012689890819698256
255.2128582829739,0.78,1.249619324535312e-05,1.2347869051207532e-05,0.011869550288904553
261.7567777261271,0.8,1.356479644168396e-05,1.3427077883425805e-05,0.01015264466740925
268.3006971692803,0.8200000000000001,1.490882470246233e-05,1.4756004106969216e-05,0.010250344916046587
274.84461661243347,0.8400000000000001,1.649370471059134e-05,1.6354580160051757e-05,0.008435009173545177
281.3885360555866,0.86,1.8662829150387152e-05,1.8515564363724287e-05,0.007890807201640721
287.9324554987398,0.88,2.1344094989380623e-05,2.1200133960982044e-05,0.006744770788839
294.47637494189297,0.9,2.5322188689778648e-05,2.517939461185573e-05,0.005639089087925434
301.0202943850461,0.9199999999999999,3.071764299437561e-05,3.057637502143611e-05,0.004598919681609783
307.5642138281993,0.94,4.011694443360348e-05,3.9966547373760735e-05,0.0037489659784947843
314.1081332713525,0.96,5.5063712186266894e-05,5.49659744342216e-05,0.0017749938782672878
320.65205271450566,0.98,8.917652810056518e-05,8.900395635516916e-05,0.0019351700393786303
327.19597215765884,1.0,0.00011767294070974474,0.00011775214941423173,0.000673125903111092
333.73989160081203,1.02,8.669191528572003e-05,8.677565763458266e-05,0.0009659764533593685
340.2838110439652,1.04,5.1993449764457755e-05,5.209693988055751e-05,0.001990445268944195
346.8277304871184,1.06,3.717686115048312e-05,3.735800754970797e-05,0.004872557650620588
353.3716499302716,1.08,2.823421025275288e-05,2.834955671488187e-05,0.0040853440240193615
359.9155693734248,1.1,2.2281303277519057e-05,2.2415945197301763e-05,0.006042820660250778
366.45948881657796,1.12,1.8713014636339787e-05,1.8890573836626647e-05,0.0094885406620721
373.00340825973115,1.1400000000000001,1.5948937439575948e-05,1.6076478324725473e-05,0.00799682647403481
379.54732770288433,1.1600000000000001,1.3676577639554798e-05,1.3805465174462601e-05,0.009423961045272095
386.09124714603746,1.1800000000000002,1.2123431652145228e-05,1.2296891524556889e-05,0.01430781955049561
392.63516658919065,1.2000000000000002,1.0898039509988808e-05,1.10496921924549e-05,0.01391559301350407
399.1790860323438,1.22,9.716375880876966e-06,9.836864416700978e-06,0.012400563471525246
405.72300547549696,1.24,8.797869206305548e-06,8.947979715313807e-06,0.01706214374051762
412.26692491865015,1.26,8.090607890405446e-06,8.262584572263524e-06,0.021256336258987693
418.81084436180333,1.28,7.4803736177201795e-06,7.626890612862064e-06,0.019586855233380635
425.3547638049565,1.3,6.849793647903875e-06,6.974351429356821e-06,0.01818416551731624
431.8986832481097,1.32,6.3412122983293974e-06,6.487850560640536e-06,0.02312464169505422
438.4426026912628,1.3399999999999999,5.928941680154784e-06,6.100135463802344e-06,0.028874256635138797
444.98652213441596,1.3599999999999999,5.586044223046157e-06,5.745367240093472e-06,0.028521617567938508
451.53044157756915,1.38,5.223192022923163e-06,5.3552934056587366e-06,0.0252913126984068
458.07436102072234,1.4,4.876147963654395e-06,5.007445539258685e-06,0.02692649537769365
464.6182804638755,1.42,4.597483421741833e-06,4.7540448970865425e-06,0.0340537335282862
471.1621999070287,1.44,4.35835582382634e-06,4.5301295822103284e-06,0.0394125136467593
477.7061193501819,1.46,4.159077640848726e-06,4.318809401188273e-06,0.038405573094074594
484.2500387933351,1.48,3.940130397065658e-06,4.076465772144215e-06,0.03460174190683884
490.79395823648827,1.5,3.7165863945877503e-06,3.846532442386684e-06,0.03496381733199227
