window_length,polyorder,amp,A11,A12,A21,A22,B1,B2,A_rel_error,B_rel_error,stable,complex_pair,fn_Hz,zeta,fn_Hz_baseline,zeta_baseline,fn_rel_dev_from_baseline,zeta_rel_dev_from_baseline
51,2,-0.1,-2949343.0741253654,-2318597.456645308,1590973.7852984301,-1593196.3340270598,-2530594.2385674743,2557237.447668931,0.0546237074631606,0.019604775609921406,True,True,460937.28973474674,0.7842363995037521,461989.3787486549,0.8007638851440457,0.002277301302375965,0.02063964914866328
51,2,-0.05,-2851073.66096175,-2092078.1563488338,1615330.4794111038,-1622618.3810978893,-2671319.940402271,2651054.26545726,0.03168835501699758,0.05049517842681559,True,True,450315.7460420816,0.7905677389949964,453596.2041634908,0.8002548011242042,0.007232111052293529,0.012104972210849992
51,2,-0.025,-2475783.1681982307,-2042208.5180776422,1628883.6847121555,-1218917.9434241487,-2023364.0298070794,2381808.808942728,0.144761339671113,0.15633064904757862,True,True,400877.6768966541,0.7334281490977306,405461.5592712833,0.7324241189728685,0.011305343921795049,0.0013708315972309575
51,2,0.025,-2704847.401937476,-2103849.002938117,1631907.2908594124,-587693.3986330307,-2524317.652840171,2135089.201507344,0.2604511784925528,0.10259301481652437,True,True,356695.5747310064,0.7345537495632277,364285.16493131575,0.7545887715722152,0.02083420059595436,0.02655091456932719
51,2,0.05,-2867513.523830507,-1942705.8569421098,1515348.620493573,-1554890.5669545676,-2698332.93170969,2431509.612799119,0.05454020827785278,0.04020942479360407,True,True,433022.7361498045,0.812714221031996,441544.8751574887,0.8119707005428363,0.01930073133482649,0.000915698668268
51,2,0.1,-2972189.6702723093,-2394715.4191791546,1558417.6775436674,-1483986.3386711378,-2513182.8333545225,2492591.384720129,0.07987430890983832,0.01637158874654201,True,True,454154.0251894757,0.7808170794203265,462000.31725631584,0.7800510169409607,0.01698330449952283,0.0009820671503897509
51,3,-0.1,-2936310.7520963433,-2388571.9778263695,1581533.327658094,-1719333.876226832,-2484465.6972183995,2599694.996712153,0.0654019913501319,0.0368876433175382,True,True,472829.61486337637,0.7835474265830042,461989.3787486549,0.8007638851440457,0.023464253970693728,0.0215000437462842
51,3,-0.05,-2855902.8876405633,-2042204.2083033873,1612450.7488594197,-1719870.1134279624,-2698114.7068313295,2685692.7637872305,0.03794805914350549,0.06267889484191506,True,True,455881.9845817481,0.7987340103542768,453596.2041634908,0.8002548011242042,0.00503924062255472,0.0019003831876934383
51,3,-0.025,-2473414.7176232324,-2176179.1053319136,1605261.4567557995,-1158683.5769420583,-1964696.4223379437,2326887.1449872563,0.1532212834663827,0.17592733211981942,True,True,401349.5580824185,0.720153275037369,405461.5592712833,0.7324241189728685,0.010141531533236001,0.01675374092364378
51,3,0.025,-2739374.0746532567,-2154432.2667766293,1575565.3594911364,-519410.07877419563,-2544632.3837771956,2044147.6710575582,0.2740865727582759,0.12732533480892372,True,True,349319.0815557226,0.7423751433469608,364285.16493131575,0.7545887715722152,0.041083428084190486,0.01618580700559171
51,3,0.05,-2871742.841024458,-1959365.289868813,1477956.9953667342,-1508261.4441509885,-2696548.124375568,2368076.2604355733,0.0578246928722537,0.05069731919561985,True,True,427863.33043094154,0.814628507714416,441544.8751574887,0.8119707005428363,0.030985626821435214,0.0032732796513505378
