amp,output,K1,tau1_s,test_nrmse_1,AICc_1,BIC_1,K2,wn2_rad_s,fn2_Hz,zeta2,test_nrmse_2,AICc_2,BIC_2,K2z,wn2z_rad_s,fn2z_Hz,zeta2z,tau_z_s,tau_z_us,zero_rad_s,abs_zero_over_wn,test_nrmse_2z,AICc_2z,BIC_2z,train_rss_2z,optimizer_success,improvement_2_vs_1,improvement_2z_vs_1,improvement_2z_vs_2,delta_AICc_2_vs_1,delta_AICc_2z_vs_1,delta_AICc_2z_vs_2
-0.1,theta,-1.193394658875918,3.3093706851092977e-07,0.31585490408440065,-24016.13224403836,-24004.9354453752,-1.1913734895395378,7006112.738389507,1115057.474173785,1.1520769607624333,0.3009884969126742,-25079.289320305503,-25062.497131328793,-1.1875572114795,3041810.733853549,484119.214242778,0.7927136331218062,2.2861225190728652e-07,0.22861225190728654,-4374218.755369022,1.4380312051261315,0.2848660386000231,-26931.299271454398,-26908.913702196223,0.002846896409799654,True,0.047067203894842646,0.09811107911782468,0.05356503148134839,1063.1570762671436,2915.1670274160388,1852.0099511488952
-0.05,theta,-1.2402352113415591,3.2950284838039475e-07,0.24644110728711924,-25985.985979743487,-25974.789181080327,-1.2383435665343123,7232114.2330757035,1151026.72919925,1.1878118681555259,0.2334842633755182,-26591.11762349639,-26574.32543451968,-1.2326765453890014,2599532.9664279064,413728.5213373393,0.7962877267941627,3.3369527435884915e-07,0.33369527435884916,-2996746.0639691898,1.15280171579709,0.20296603868483318,-27871.450899559808,-27849.065330301633,0.0017795998368796923,True,0.05257582249257431,0.17641159415679342,0.13070784407256542,605.1316437529022,1885.4649198163206,1280.3332760634185
-0.025,theta,-1.164238141271755,3.669416824879957e-07,0.7449658014585077,-26593.91758291378,-26582.720784250618,-1.161866775500323,6027098.376303513,959242.4990898403,1.100011469295482,0.7274956084529245,-26798.745970989083,-26781.953782012373,-1.15747039493973,2943610.910186071,468490.22689534636,0.7682298887230655,1.9923939968002578e-07,0.1992393996800258,-5019087.598165717,1.7050784737879816,0.7038515204329779,-27086.06249076365,-27063.676921505474,0.0026350087000348854,True,0.023450999994066413,0.0551894878194884,0.03250066082216985,204.82838807530425,492.1449078498699,287.3165197745657
0.025,theta,-1.2000116647746726,3.059373949742887e-07,0.5741083088548278,-26455.42571492433,-26444.22891626117,-1.1984685914284978,7561375.638809303,1203430.3094911384,1.162304794572062,0.5539639783022623,-26620.29094507264,-26603.49875609593,-1.1806299736749364,1686973.6675656112,268490.1980589308,0.8707177913849181,8.749210535540447e-07,0.8749210535540447,-1142960.265886697,0.6775211065007594,0.5956794106707626,-27852.59632441213,-27830.210755153956,0.0017964475016525859,True,0.035088031721309365,-0.03757322700826715,-0.07530351070180763,164.8652301483089,1397.170609487799,1232.3053793394902
0.05,theta,-1.2109959058089785,3.368338733787618e-07,0.27925098568580664,-26773.368977259404,-26762.172178596244,-1.2094141880800655,7862895.358632045,1251418.6633406112,1.3196877048256217,0.2664989991150693,-27295.998470707444,-27279.206281730734,-1.2061164719395494,3114548.0144624705,495695.7119987501,0.8259399606787273,2.2472659378535093e-07,0.22472659378535093,-4449851.631512541,1.428731106680507,0.24282239818798598,-28240.298752963976,-28217.9131837058,0.0014800217261018928,True,0.045664965297866345,0.13045106146485552,0.08884311387923904,522.6294934480393,1466.9297757045715,944.3002822565322
0.1,theta,-1.1979343390027097,3.339527732927303e-07,0.1597708490437661,-24088.747209920864,-24077.550411257704,-1.1958818194103116,6848086.516233442,1089906.8197795094,1.1381240299432622,0.1407830333239822,-25210.478546358125,-25193.686357381415,-1.1911411882095824,2737701.6402823785,435718.7487617305,0.7909282616928485,2.899650331031825e-07,0.2899650331031825,-3448691.6898154244,1.2597032631575262,0.1434280315091368,-28557.59218782339,-28535.206618565215,0.0012629993563572387,True,0.11884405593026892,0.1022891073837412,-0.018787762436313526,1121.7313364372603,4468.844977902525,3347.1136414652647
-0.1,r,0.43120966026540963,9.864932258535097e-08,0.9420159865028697,-22620.916615073056,-22609.719816409895,0.4305222238661177,9108266.37877666,1449625.617180023,0.49771442883199896,0.9127731614230814,-22865.56505541262,-22848.77286643591,0.41923369454708503,2909226.2929166043,463017.7450905878,0.8253207719977657,7.457121890560909e-07,0.7457121890560909,-1340999.9389520267,0.46094727736274715,0.5791391219135856,-28230.733708218562,-28208.348138960388,0.0014871133617441019,True,0.03104281190423208,0.38521306409716494,0.3655169253545266,244.6484403395625,5609.817093145506,5365.168652805944
-0.05,r,0.4199817329757231,8.786074536623277e-08,0.8426629495043323,-24808.448382275965,-24797.251583612804,0.41930904009469566,9377229.308297075,1492432.3969216743,0.4686836678923325,0.8019461133007811,-24962.5412860478,-24945.74909707109,0.405549333644673,2774939.1989796287,441645.29029707244,0.9119111150886485,9.161829149880138e-07,0.9161829149880139,-1091485.0993625904,0.39333658184796977,0.47015505862107276,-28501.494350869973,-28479.108781611798,0.0012989084199505313,True,0.048319243450185456,0.4420603648260252,0.41373235579890577,154.09290377183424,3693.0459685940077,3538.9530648221735
-0.025,r,0.4262793726749077,1.0494535057406404e-07,1.2447521874142726,-26708.72757088461,-26697.53077222145,0.425250323747858,7647796.578478277,1217184.629226102,0.43058261811113874,1.2370851293603677,-26959.319508362707,-26942.527319385998,0.41525584270542315,3086696.431328027,491262.99486996856,0.6837430000171505,5.951231608070353e-07,0.5951231608070353,-1680324.4535869162,0.5443763230270007,1.084744928229162,-28162.743079051932,-28140.357509793757,0.0015385112455746175,True,0.006159505587880698,0.12854547339056643,0.12314447689624486,250.59193747809695,1454.015508167322,1203.423570689225
0.025,r,0.3547180017046418,8.89607196695862e-08,0.9601888417754587,-26155.46607901945,-26144.26928035629,0.3539555093072734,8154996.658063456,1297908.029028686,0.40378785818827784,0.9642443996277842,-26294.385104447527,-26277.592915470817,0.33354617785657,2228814.866389286,354726.9032225571,0.797108098581832,1.2427063011578512e-06,1.2427063011578512,-804695.3645187785,0.36104181493656196,0.8836540622921497,-29037.948740493674,-29015.5631712355,0.0009934526146898352,True,-0.0042237085830183485,0.07970804924351194,0.08357874556154421,138.91902542807657,2882.4826614742233,2743.5636360461467
0.05,r,0.4026190541983732,1.0302458942610083e-07,0.9363551960386788,-25283.689673257242,-25272.49287459408,0.401915274224761,8487092.99501397,1350762.802637072,0.48379494032563003,0.9093419054638006,-25544.20721143799,-25527.415022461282,0.3932477724289434,3229612.9735461953,514008.8690135916,0.6271606469626329,5.120045373410982e-07,0.5120045373410983,-1953107.6915707067,0.6047497664793394,0.7066191205988238,-28849.083298263024,-28826.69772900485,0.001091787886030979,True,0.0288494053209295,0.24535141836321384,0.22293351229819336,260.5175381807494,3565.3936250057814,3304.876086825032
0.1,r,0.440999624011185,1.0545062259005412e-07,0.85158394417055,-22761.722512349068,-22750.525713685907,0.4403547301499174,9159695.094147889,1457810.75144822,0.5311278652351422,0.8226758274902702,-23002.517732399505,-22985.725543422795,0.4295449093365995,2887972.857581606,459635.1557993389,0.7951296612241175,7.024340739227193e-07,0.7024340739227194,-1423621.1441388852,0.4929482423636863,0.5636681664062413,-29097.747223958853,-29075.36165470068,0.0009642032049774738,True,0.033946291352917046,0.33809441774379756,0.3148356283594491,240.7952200504369,6336.024711609785,6095.229491559348
