amp,A11,A12,A21,A22,B1,B2,fn_Hz,wn_rad_s,zeta,stable,complex_pair,test_nrmse_theta,test_nrmse_r
-0.1,-2964025.136529998,-2181864.7744292384,1573037.5913236153,-1684833.42400415,-2605654.812097172,2574929.534051857,461989.378748636,2902764.8766264548,0.8007638851440448,True,True,0.283315492760037,0.5788331097225182
-0.05,-2853923.7956212303,-2037769.882100617,1594574.761054612,-1707574.9941956906,-2696902.7418768657,2660909.623890836,453596.20416347147,2850029.005392356,0.8002548011241997,True,True,0.20330726733526833,0.4779098415599574
-0.025,-2457359.6718979273,-2088389.950384399,1608117.4386276286,-1274473.2144378882,-1981096.6885730473,2380725.143345799,405461.55927126674,2547590.111839348,0.7324241189728613,True,True,0.696580939674802,1.0475254732426271
0.025,-2772876.4082614332,-2036529.246281466,1644656.9016362377,-681436.5997709029,-2627020.1849943236,2182918.2320012506,364285.16493129893,2288871.19591983,0.7545887715722136,True,True,0.5767770776482415,0.9018593757287388
0.05,-2846544.8140632906,-1986111.7342504817,1497914.410153338,-1658769.2482929116,-2656006.813393824,2452330.6443706998,441544.8751574698,2774308.272049859,0.8119707005428332,True,True,0.23531997641285607,0.6842171238582275
0.1,-2957888.148466553,-2452610.333074768,1541259.120764728,-1570828.4631781636,-2470275.8976658355,2509531.034772476,462000.3172562953,2902833.605297062,0.7800510169409572,True,True,0.14362008130133766,0.5701263639272474
