identifier,output,zeta_star,objective_min,optimizer_success,mag_rms,complex_relative,phase_rms_deg,max_mag_error,model
-0.1,theta,0.7763224870770717,0.5704124798337078,True,0.17463760381701166,0.5704124798337078,47.25487292387107,0.22271402857046624,Case1F LOPO
-0.1,r,0.7224671616020883,0.881647209913815,True,0.7536582088222137,0.881647209913815,67.91061685619646,0.9373365891663898,Case1F LOPO
-0.05,theta,0.7694346267427977,0.5551946642079405,True,0.16443744846782207,0.5551946642079405,46.24374528103373,0.21007652032601548,Case1F LOPO
-0.05,r,0.7186678973018905,0.8732690347049834,True,0.7168420730717652,0.8732690347049834,67.12738775386404,0.8932073506240541,Case1F LOPO
-0.025,theta,0.7759083308043373,0.5561569294730466,True,0.1644712801291684,0.5561569294730466,46.35654133404714,0.21019578704921177,Case1F LOPO
-0.025,r,0.7235908720549393,0.8749489823908269,True,0.7214840416693543,0.8749489823908269,67.31817467735891,0.8977872852880363,Case1F LOPO
0.025,theta,0.7734365118935168,0.5356837868141988,True,0.15087512025986072,0.5356837868141988,45.04081042739206,0.19341143030894564,Case1F LOPO
0.025,r,0.7220256631396731,0.8693100189512771,True,0.6976772800605355,0.8693100189512771,66.81143812893161,0.8690082132148425,Case1F LOPO
0.05,theta,0.7694148992998867,0.5452754861297421,True,0.15761758723605904,0.5452754861297421,45.61724790846936,0.20166926981682082,Case1F LOPO
0.05,r,0.7184718741817615,0.8717412257055455,True,0.7102070198622583,0.8717412257055455,66.99189380530531,0.8851228609553015,Case1F LOPO
0.1,theta,0.7815576240458492,0.5644898851310877,True,0.16980205233625392,0.5644898851310877,46.92588846462685,0.21682384006684885,Case1F LOPO
0.1,r,0.7263208242100885,0.8818166921156918,True,0.7520989936267154,0.8818166921156918,67.95961171044195,0.9345223861008816,Case1F LOPO
