held_out_amp,fold_type,test_nrmse_theta,test_nrmse_r,E_NF_theta,E_NF_r,fn_Hz,fd_Hz,zeta,stable,complex_pair,theta_mag_rms,r_mag_rms,theta_plasma_reference_complex_discrepancy,r_plasma_reference_complex_discrepancy,theta_phase_rms_deg,r_phase_rms_deg,theta_max_mag_error,r_max_mag_error,theta_best_zeta_star,r_best_zeta_star,theta_best_plasma_reference_complex_discrepancy,r_best_plasma_reference_complex_discrepancy,theta_best_phase_rms_deg,r_best_phase_rms_deg,theta_best_mag_rms,r_best_mag_rms,theta_best_max_mag_error,r_best_max_mag_error,theta_best_optimizer_success,r_best_optimizer_success
-0.1,edge extrapolation,0.224726921016,0.531294236117,0.423262870715,0.358380974989,402832.155014,233985.959478,0.814009014441,True,True,0.17592943606,0.778341711536,0.570420072884,0.882109686763,47.1872901608,67.0016721107,0.223621304038,0.969512515442,0.7763224870770717,0.7224671616020883,0.5704124798337078,0.881647209913815,47.25487292387107,67.91061685619646,0.1746376038170116,0.7536582088222137,0.2227140285704662,0.9373365891663898,True,True
-0.05,interpolation,0.343798696031,0.37532136919,0.347960325253,0.171032440322,422360.045362,250686.798598,0.804805857531,True,True,0.168184223227,0.743206525421,0.555260705659,0.873830841261,46.0479250641,66.1493800266,0.212724893633,0.927608998705,0.7694346267427977,0.7186678973018905,0.5551946642079405,0.8732690347049834,46.24374528103373,67.12738775386404,0.164437448467822,0.7168420730717652,0.2100765203260154,0.8932073506240541,True,True
-0.025,interpolation,0.555167676569,1.08641983648,0.319844825919,0.37410816308,422920.205717,246774.489885,0.812112204533,True,True,0.165901066137,0.745589068466,0.556166772752,0.875417372799,46.2809459115,66.4218910914,0.21117517219,0.928903448269,0.7759083308043373,0.7235908720549393,0.5561569294730466,0.8749489823908269,46.35654133404714,67.31817467735891,0.1644712801291684,0.7214840416693543,0.2101957870492117,0.8977872852880363,True,True
0.025,interpolation,0.566681370893,1.58728755758,0.193418825949,0.340078069944,437910.645884,258365.107751,0.807406871554,True,True,0.15316205047,0.722451321234,0.535710858523,0.869826470436,44.9185491868,65.8850175373,0.194935735709,0.900929886819,0.7734365118935168,0.7220256631396731,0.5356837868141988,0.8693100189512771,45.04081042739206,66.81143812893161,0.1508751202598607,0.6976772800605355,0.1934114303089456,0.8690082132148425,True,True
0.05,interpolation,0.27425018746,0.431568600813,0.286676236421,0.195788434833,428499.049223,254890.096232,0.803841149743,True,True,0.161356819364,0.73664803014,0.545343912367,0.872313219697,45.4203793533,66.0093336444,0.204263829756,0.919589074072,0.7694148992998867,0.7184718741817615,0.5452754861297421,0.8717412257055455,45.61724790846936,66.99189380530531,0.157617587236059,0.7102070198622583,0.2016692698168208,0.8851228609553015,True,True
0.1,edge extrapolation,0.122582480814,0.892163286328,0.236948458371,0.664989933511,415259.528394,238119.54954,0.819259148362,True,True,0.169262872115,0.775014351774,0.564491270048,0.882218215968,46.9545087354,67.1130532159,0.216458623772,0.964110956454,0.7815576240458492,0.7263208242100885,0.5644898851310877,0.8818166921156918,46.92588846462685,67.95961171044195,0.1698020523362539,0.7520989936267154,0.2168238400668488,0.9345223861008816,True,True
